"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
26,"NCT05501509","Comparison of Coracoclavicular Fixation With Versus Without Acromioclavicular Stabilization for Repair of Acute Acromioclavicular Joint Dislocations: A Randomized Controlled Clinical Trial",,"Recruiting","No Results Available","Acromioclavicular Joint Dislocation|Acromioclavicular Joint|Coracoclavicular Fixation|Acromioclavicular Stabilization","Procedure: Coracoclavicular fixation with acromioclavicular stabilization for the management of an unstable acromiclavicular luxation|Procedure: Coracoclavicular fixation for the management of an unstable acromiclavicular luxation","Clinical impact in dairy life|Complication rates|Evolution of adduction force after surgery|Need of postoperative analgesic|Results of the radiological variable after surgey|Revision surgery rate","Universidad de La Frontera","All","15 Years to 65 Years   (Child, Adult, Older Adult)","Not Applicable","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","101","January 1, 2022","November 30, 2022","July 31, 2023","August 15, 2022",,"August 15, 2022","Hernán Henríquez Aravena Hospital, Temuco, Chile","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT05501509/Prot_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT05501509/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT05501509"
27,"NCT05501496","Conservative Versus Intramedullary Nailing for Pediatric Tibial Shaft Fractures","CINPED","Not yet recruiting","No Results Available","Fracture of Tibia","Procedure: intramedullary nailing|Procedure: casting","Malunion|Pediatric Quality of Life Inventory|number of reinterventions|complication","Turku University Hospital|Helsinki University Central Hospital|Kuopio University Hospital|Oulu University Hospital|Tampere University Hospital","All","6 Years to 15 Years   (Child)","Not Applicable","66","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","ETMK105/1801/2017","October 1, 2022","December 31, 2032","December 31, 2035","August 15, 2022",,"August 15, 2022","Juho-Antti Ahola, Helsinki, Finland|Turku Children's Hospital, Turku, Finland","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/96/NCT05501496/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT05501496"
28,"NCT05501483","Adipose Tissue Heterogeneity and Its Link to Type 2 Diabetes","DiaSpax","Not yet recruiting","No Results Available","Type 2 Diabetes","Drug: Pioglitazone 45 mg|Drug: Empagliflozin 25 MG|Drug: Semaglutide 7 MG","Changes in fat cell lipolysis after 6 months of treatment|Changes in fat cell heterogeneity after 6 months of treatment","Karolinska Institutet|Karolinska University Hospital","All","30 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Karolinska University Hospital|2021-002367-21","September 1, 2022","September 1, 2024","December 31, 2032","August 15, 2022",,"August 15, 2022","Karolinska University Hospital, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT05501483"
29,"NCT05501470","Maternal Probiotic Intervention to Improve Gut Health (MPIGH)",,"Not yet recruiting","No Results Available","Environmental Enteric Dysfunction|Probiotic","Drug: VSL#3|Device: CapsCan|Drug: Placebo","Reduction in inflammation and epithelial damage in pregnant women with environmental enteropathy|Reduction in enteropathogen colonisation|Impact on the structure and function of the microbiome|Reduction in permeability|Impact of the host metabolome in pregnant woman|Rate of weight gain in the 2nd trimester of pregnancy|Variability in endpoints across geographies and participating laboratories","Institut Pasteur de Dakar|Bill and Melinda Gates Foundation|International Centre for Diarrhoeal Disease Research, Bangladesh|Aga Khan University|University of Zambia","Female","18 Years and older   (Adult, Older Adult)","Phase 2","76","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2022-01","October 2022","April 2023","October 2023","August 15, 2022",,"August 15, 2022","Centre de santé de Wakhinane, Guédiawaye, Dakar, Senegal",,"https://ClinicalTrials.gov/show/NCT05501470"
30,"NCT05501457","The Effect of Different Muscle Training on Activities of Daily Living in COPD",,"Recruiting","No Results Available","Quality of Life|Anxiety","Device: Muscle strengthening with neuromuscular electrical stimulation","6 Minute Walk Test (6 MWT):|Modified Borg Scale (MBS):|St. George's Respiratory Questionnaire (SGRQ):|Beck Depression Inventory (BDI):","Hitit University","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","HititUApayas","July 15, 2022","October 1, 2022","November 1, 2022","August 15, 2022",,"August 15, 2022","Hititi University Sungurlu Vocational School, Corum, Turkey",,"https://ClinicalTrials.gov/show/NCT05501457"
31,"NCT05501444","Antiperspirant in the Treatment of Residual Limp Hyperhidrosis for Prosthetic Users",,"Recruiting","No Results Available","Hyperhidrosis|Residual Limbs","Other: Topical antiperspirant","Hyperhidrosis Disease Severity Scale (HDSS)|Sweating Intensity Visual Scale (SIVS)|Numerical Ranking Scale (NRS 100)","Sophies Minde Ortopedi","All","18 Years and older   (Adult, Older Adult)","Not Applicable","10","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FoU_2022_Hyperhidrosis","August 9, 2022","December 31, 2022","August 31, 2023","August 15, 2022",,"August 15, 2022","Sophies Minde Ortopdi AS, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT05501444"
32,"NCT05501431","Personalized Parkinson Project PSP Cohort","PPP-PSP","Recruiting","No Results Available","Progressive Supranuclear Palsy|Brain Diseases|Neurodegenerative Diseases|Movement Disorders","Device: Verily Study Watch","Annual change in digital biomarkers for gait|Annual change in digital biomarkers for bradykinesia|Annual change in digital biomarkers for falls|Annual change in digital biomarkers for rising from a chair|Annual change in digital biomarker for motor performance|Annual change in cognition|Annual change in D-KEFS trail making test|Annual change in semantic fluency|Annual change in quality of life|Annual change in Activities of Daily Living (ADL) performance","Radboud University Medical Center|UCB Pharma|Verily Life Sciences LLC","All","50 Years and older   (Adult, Older Adult)",,"100","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","NL75356.091.20","May 1, 2021","December 2023","June 2024","August 15, 2022",,"August 15, 2022","Radboud University Medical Center, Nijmegen, Netherlands",,"https://ClinicalTrials.gov/show/NCT05501431"
33,"NCT05501418","Evaluate the Safety and Efficacy of Allogeneic Umbilical Cord Mesenchymal Stem Cells in Patients With COVID-19","UMSC01","Active, not recruiting","No Results Available","COVID-19 Infection","Biological: Allogeneic umbilical cord mesenchymal stem cells|Biological: Controlled normal saline","Two Co-Primary Efficacy Endpoints|Secondary Efficacy Endpoints|Secondary Safety Endpoints","Ever Supreme Bio Technology Co., Ltd.","All","20 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","75","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","ES-CMSC01-C1101","August 5, 2020","December 31, 2023","December 31, 2023","August 15, 2022",,"August 15, 2022","China Medical University Hospital, Taichung, Non-US, Taiwan",,"https://ClinicalTrials.gov/show/NCT05501418"
34,"NCT05501405","Brain and Oculometric Markers of Emotional Facial Expression Recognition Deficits","FERmarkers","Recruiting","No Results Available","Autism|Psychotic Disorders","Other: Electroencephalogram and eye-tracking recordings","Fast Periodic Visual Stimulation Task (FPVS-EEG)|Eye-tracking task","Hôpital le Vinatier","All","10 Years to 50 Years   (Child, Adult)","Not Applicable","210","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science","2021-A01367-34","March 30, 2022","March 25, 2026","September 30, 2026","August 15, 2022",,"August 15, 2022","centre de réhabilitation - Hôpital le Vinatier, Lyon, Rhône, France",,"https://ClinicalTrials.gov/show/NCT05501405"
35,"NCT05501392","South Texas Early Prevention Studies PreK","STEPSPreK","Completed","No Results Available","Childhood Obesity","Behavioral: STEPS-PreK","cardiorespiratory fitness","University of Texas Rio Grande Valley|Department of Health and Human Services","All","3 Years to 5 Years   (Child)","Not Applicable","1277","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","STEPS","September 28, 2018","March 17, 2020","June 30, 2020","August 15, 2022",,"August 15, 2022","University of Texas Rio Grande Valley, Edinburg, Texas, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/92/NCT05501392/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/92/NCT05501392/SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/92/NCT05501392/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT05501392"
36,"NCT05501379","Comparison of the Physical Activity in Cancer Patients Assessed by Questionnaire and Motion Tracker","OncoPhys","Recruiting","No Results Available","Lymphoma|Pancreas Cancer|Colorectal Cancer","Other: No intervention - observational study only","Comparison of physical activity assessments within 1 week after initiation of cancer therapy|Comparison of physical activity assessments 12 weeks after initiation of cancer therapy|Comparison of changes in physical activity between assessements within 1 week and 12 weeks after initiation of cancer therapy|Physical activity assessed by accelerometer|Physical activity assessed by questionnaire|Relation of Eastern Co-operative Oncology Group (ECOG) Performance Status to physical activity assessed by accelerometer|Relation of Eastern Co-operative Oncology Group (ECOG) Performance Status to physical activity assessed by questionnaire|Relation of Karnofsky Performance Status (KPS) to physical activity assessed by accelerometer|Relation of Karnofsky Performance Status (KPS) to physical activity assessed by questionnaire|Relation of age to physical activity assessed by accelerometer|Relation of age to physical activity assessed by questionnaire|Relation of sex to physical activity assessed by accelerometer|Relation of sex to physical activity assessed by questionnaire|Relation of quality of life to physical activity assessed by accelerometer|Relation of quality of life to physical activity assessed by questionnaire|Therapy-related quality of life|Relation of fatigue to physical activity assessed by accelerometer|Relation of fatigue to physical activity assessed by questionnaire|Therapy-related fatigue|Relation of sleep duration to physical activity assessed by accelerometer|Relation of sleep duration to physical activity assessed by questionnaire|Relation of sleep efficiency to physical activity assessed by accelerometer|Relation of sleep efficiency to physical activity assessed by questionnaire|Therapy-related sleep duration|Therapy-related sleep efficiency|Changes in fatigue between assessements before and 12 weeks after initiation of cancer therapy|Changes in quality of life between assessements before and 12 weeks after initiation of cancer therapy|Relation of tumor entity to changes in physical activity between assessements within 1 week and 12 weeks after initiation of cancer therapy|Relation of cancer therapy modality to changes in physical activity between assessements within 1 week and 12 weeks after initiation of cancer therapy","University Medicine Greifswald","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Other|Time Perspective: Prospective","BB 067/22","August 2022","July 2024","October 2024","August 15, 2022",,"August 15, 2022","University Medicine Greifswald, Greifswald, Germany",,"https://ClinicalTrials.gov/show/NCT05501379"
37,"NCT05501366","Strategies to Augment Ketosis: Optimization of Ketone Delivery Strategies","STAK: OK'd","Not yet recruiting","No Results Available","Ketosis","Dietary Supplement: Ketone Supplement|Behavioral: Beverage Tolerability Questionnaire (BTQ) and satiety visual analogue scale|Biological: Blood Draw|Other: Breath Reading|Other: Heart Rate Variability|Other: CGM/CKM|Radiation: DXA|Other: Urine Analysis","Total Plasma Ketone AUC|Capillary d-BHB concentrations|AcAc, R-BHB and S-BHB changes across trials|Continuous Ketone and Glucose Monitoring|Ketone Excretion|Ketone in breathe expiration|Alanine Change|Lactate Change|Free Fatty Acid Change|Heart Rate Variability|Satiety Visual Analogue Scale|Beverage tolerability questionnaire (BTQ)|Insulin|Ghrelin|Acid-Base Balance|Respiratory Gas Exchange|Whole blood clinical chemistry","Ohio State University Comprehensive Cancer Center","Male","20 Years to 30 Years   (Adult)","Not Applicable","15","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2022H0160|CDMRP-PR212399-A","September 2022","September 2026","September 2027","August 15, 2022",,"August 15, 2022","The Ohio State University, Columbus, Ohio, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT05501366/Prot_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT05501366/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT05501366"
38,"NCT05501353","Explore Biomarkers Associated With Prognosis of Recurrent and Metastatic CRC After Surgery by Multi-omics Methods",,"Not yet recruiting","No Results Available","Colorectal Cancer Metastatic","Other: no intervention","molecular markers related to prognosis|the correlation between ctDNA mutations with methylation status and recurrence|Compare the difference of DNA with ctDNA in predicting postoperative recurrence through statistical method","Second Affiliated Hospital, School of Medicine, Zhejiang University|Guangzhou Burning Rock Dx Co., Ltd.|Guangdong Living Environment Harmless Treatment Center Co., Ltd.","All","18 Years to 99 Years   (Adult, Older Adult)",,"125","Other|Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2022-0465","September 1, 2022","September 1, 2027","September 1, 2027","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05501353"
